inputs,targets,template_id,template_lang
ఈ రిడిల్ కి సమాధానం ఇవ్వు అరచేతి పట్నాన 60 వాకిళ్ళు ?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అద్దం""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు అబద్ధం అంటే తెలియని అమాయకురాలు,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అద్దం""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
అరచేతి పట్నాన అరవై వాకిళ్ళు.","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అద్దం""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు నన్ను చూస్తే నిన్ను పట్టిస్తా?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అద్దం""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు చూస్తే చూపులు - నవ్వితే నవ్వులు,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అద్దం""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు భగవంతుని ప్రతిరూపమును నేను! నన్ను మంగళకరముగా భావిస్తారు. మనిషి మనిషికీ ప్రతిరోజూ ప్రతిపూటా ఉపయోగపడతాను.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అద్దము""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు ఈకలు లేని కోడి ఇల్లెక్కింది?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అనపకాయ, సొరకాయ""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు అర్ధరూపాయి మేక , దాని సంక నువ్వు నాక","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అన్నం తినే పళ్ళెం""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
లంక తగుల బెడితే, లచ్చి మొత్తుకునే!","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అన్నము ఉడుకుట""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
ఏ నెలలో 28 రోజులు ఉంటాయి?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అన్ని నెలలలో""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు ఇంతింతాకు, బ్రహ్మంతాకు, విరిస్తే ఫెళఫెళ ?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అప్పడం""",2,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు నాకు (మగ వారికి) ఉండేది! నీకు (ఆడవారికి) ఉండేది! అవేమిటో చెప్పు?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అప్పు, కొప్పు""",2,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు ‘మొగుడు గాని మొగుడు’ ఏ మొగుడు?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అప్పుల మొగుడు""",2,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు హద్దు లేని పద్దు?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అబద్దం""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
హద్దు లేని పద్దు ఎన్నడూ ఆడొద్దు","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అబద్దం""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
భయం కాని భయం?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అభయం""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
మీ మావయ్య గారి చెల్లి నీకు పెద్దమ్మ, పిన్ని కాక పోతే ఏమవుతుంది?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అమ్మ""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు బిందె మీద బిందె అల్లాడే పది పందిళ్ళు?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటి గెల""",1,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు జిలుగు జిలుగు నీటిలో జీలుగు పుట్టె! ఆకు పుట్టె! అంతరాల కొడుకు పుట్టె! కొడుకును కొట్టి, కోడలు ముండ మోసె!","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటి చెట్టు""",1,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు తొలు తియ్యన, గుండు మింగన్నా?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటి పండు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
అంగట్లొ ఉంటాను 
అంగీ ఇంట్లొ విప్పుతాను
ఎవరన్నా పట్టుకుంటే 
నూతిలో దూకుతాను","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటి పండు""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు కతకత కంగు
కామరాజు పింగు
తోలుతీసి మింగు","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అరటి పండు""",2,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు చిటపట వానలు కురవంగా! సీతాదేవి పుట్టంగా! లంకా దీపము పెట్టంగా! రాముడు విల్లును విఱువంగా!,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అరటి పువ్వు""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు కొత్త పెళ్లి కొడుకు బట్టలన్నీ విప్పేసి బావిలో దూకాడు కానీ మళ్లీ తిరిగి రాలేదు?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటిపండు""",1,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు భోగపుదాన బొచ్చులదాన 
కొనవిచ్చని పువ్వేది","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరటిపువ్వు""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు ఆకాశాన అంగవస్త్రాలు ఆరవేశారు ?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరిటాకు""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు సల సలా కాగే నీళ్ళలో సీతమ్మ స్నానమాడు.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అరిసెలు""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు ఎందరు ఎక్కిన విరగని మంచం కదలదు జోగదు బెదరదు కూడ.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అరుగు""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు ఎందరు ఎక్కిన విరగని మంచం.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అరుగు.""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు భార్య లేని పతి ఎవరు?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అల్లోపతి""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
మానం కాని మానం?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అవమానం, బహుమానం, కొలమానం""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు ఒక పాప ఒక బంతిని  విసిరినప్పుడు అది మరలా తన చేతిలోకి వెనుకకు వచ్చి చేరుతుంది, ఎలా(ఎవరు విసర కుండా)?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆ పాప ఆ బంతినిగాలిలోకి పైకి విసురుతుంది""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు అదిలేకపోతే ఎవ్వరూ ఏమీ తినరు. ఏమిటి?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకలి""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు అది లేకపోతే ఎవరూ ఏమీ తినరు?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకలి""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు అదిలేకపోతే ఎవ్వరూ ఏమీ తినరు. ఏమిటి ?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకలి""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు చిన్నా, పెద్ద భేదము లేదు. “వారు వీరు” అని అసలే లేదు. ప్రతిరోజూ మూడు పూటలా సర్వ ప్రాణులకు వేసేది ఏది?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకలి""",2,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు కానరాని అడవిలో నీళ్ళు లేని మడుగు 
నీళ్ళు లేని మడుగులో కానరాని నిప్పు","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకలి""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు కలి గాని కలి! ఏమి కలి?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకలి, చాకలి""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు రుచి లేని కారం ఏమిటి?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకారం""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
“టిక్కు” మనగానే మాట్లాడతాను. “టక్కు” మనగానే ఆగిపోతాను.","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకాశ వాణి""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు ఊరంతకీ ఒక్కటే దుప్పటి,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశం""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
చాప చుట్టనూ లేము 
చంక బెట్టనూ లేము","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశం""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు పెద్దన్న ఇచ్చెనూ పచ్చల్ల గొడుగు 
పచ్చల్ల గొడుగుకూ పగడాల పూలు","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకాశం , నక్షత్రాలు""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు చెట్టు చూడు. చెట్టందం చూడు. చిత్రమైన చిగురాకును చూడు. పూసిందంటే ఒకటే పూవు చూడు. కాసిందంటే గంపెడు కాయలు చూడు.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశం, చంద్రుడు, చుక్కలు, వెన్నెల""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
అంతులేని చెట్టుకు అరవై కొమ్మలు, కొమ్మ కొమ్మకు కోటిపువ్వులు, అన్ని పువ్వుల్లో రెండేకాయలు?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశం, చుక్కలు, సూర్యుడు""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు అందమైన వస్త్రంపై అన్నీ వడియాలే,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకాశంలో నక్షత్రాలు""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
గోరు వంకకు గొడుగును పట్టేదెవరు?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకాశము""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
చక్కని పాపకు చుక్కల చీర!","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశము""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
లోకమంతటికి ఒకటే పందిరి-ఒకటే అరుగు","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆకాశము-భూమి""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు నీలము చీర, మధ్యలో వెన్న ముద్ద, అక్కడక్కడ అన్నపు మెతుకులు","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకాశములో చంద్రుడు, చుట్టూ నక్షత్రాలు""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
అన్నదమ్ములం ముగ్గురం మేము, శుభవేళల్లో కనిపిస్తూ వుంటాము;
అయితే బుద్ధులు వేరు
నీళ్ళలో మునిగే వాడొకడు: తేలే వాడొకడు; 
కరిగే వాడొకడు: 
అయితే మే మెవరం?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆకు, వక్క, సున్నం.""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు తరచి తరచి చూసినా లోతు తెలియనిది?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆడదాని మనసు""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు తాళము గాని తాళము! ఏమి తాళము?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆది తాళము""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు ‘వాలు’ గాని వాలు! ఏమి వాలు?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆనవాలు, ఆవాలు""",2,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు అడ్డగోడమీద బుడ్డ చెంబు, తోసినా  ఇటుపక్క పడదు. అటు పక్క పడదు.","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆబోతు మూపురం.""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు దాని మొదలు చెరకు మొదలు. దాని ఆకు తామరాకు దాని పూత మేడి పూత దాని కాత గజ్జి కాత,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆముదపు చెట్టు""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు సమంత డిసెంబర్ 26 న పుట్టింది కానీ ఆమె పుట్టిన రోజు మాత్రం ఎండాకాలం వస్తుంది ఎలా?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆమె దక్షిణ అర్థగోళం లో వుంది కనుక""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు షాప్ వాడు ఫ్రీ అన్నకూడా ,మనం అడగలేనిది?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆల్కహాల్ ఫ్రీ గ్రైప్ వాటర్""",2,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు చారలు లేని జీబ్రా ఏమిటి?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆల్జీబ్రా""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
వడకాని వడ","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆవడ, పావడ, దవడ""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
వాలు కాని వాలు","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆవాలు, కోవాలు, ఆనవాలు, ఏటవాలు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
నడిచిపోయే తెల్లరాతికి నాలుగు కాళ్ళు?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆవు""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు అంగట్లో పెట్టి అమ్మేది కాదు 
తక్కెట్లో పెట్టి తూచేది కాదు 
అది లేకుంటే పండగే జరుగదు","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆవు పేడ""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
రేపటి పై నమ్మకం పెంచేది?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఆశ""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు పూజకు పనికిరాని పత్రి ఏమిటి?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆసుపత్రి""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
హారము గాని హారము! ఏమి హారము?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఆహారము""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు ఇంటికి పెట్టలేని గేట్ ఏమిటి?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఇంటరాగేట్""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు తలలేని కాసురెడ్డికి వీపునే మోకాళ్ళు!,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఇంటి కప్పు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు గుత్తులు గుత్తులు మామిడి గుత్తులు మధ్యాహ్నానికి మాయం అవును, ఏమిటది?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఇంటి ముందు కల్లాపు""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
చూచే వారే గానీ తీసే వారు లేరు.","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఇంద్ర ధనస్సు""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
శ్రీ రాముడు కూడ పట్టి వంచలేనిది, రంగు రంగులుగా ఒకే వరుసలో వచ్చునది, ‘కుక్కకు, నక్కకు పెళ్ళి’అనే సమయములో వచ్చునది. అదేమటో విప్పగలరా?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఇంద్ర ధనస్సు""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు ధనము గాని ధనము ఏమి ధనము?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఇంధనము, బంధనము""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
దాన్ని కొట్టాలంటే నీళ్లు తప్పక ఉండాల్సిందే?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఈత""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు ఇక ఇక కాయ పక పక కాయ నేల పోయే కాయ నెత్తి కెక్కే కాయ,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఈతకాయ""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
అడవిలో అక్కమ్మ తల విరబోసుకుంది?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఈతచెట్టు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
అడవిలో అక్కమ్మ జుట్టు విరబోసుకును కూర్చుంది?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఈతచెట్టు""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు పొట్టలో వేలు, నెత్తి మీద రాయి.","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉంగరం""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
చీకటి ఇంటిలో జడల దెయ్యము!","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉట్టి""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
కోడి వేడినీళ్లు తాగితే ఏం చేస్తుంది?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉడకబెట్టిన గుడ్డు పెడుతుంది.""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు నామముంది కాని పూజారి కాదు. వాలముది కానీ కోతి కాదు.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉడుత""",1,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు చారల పాపడికి దూది కుచ్చు!,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉడుత""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
నామం ఉంటుంది కానీ పూజారి కాదు. వాలముంటుంది కాని కోతి కాదు.","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉడుత.""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
తోక లేని పిట్ట తొంభై ఆమడలు పోతుంది?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉత్తరం""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
ఉత్తరానికి, దక్షిణానికి తేడా?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉత్తరం పోస్టు డబ్బాలో వేయగలం. దక్షిణాన్ని వేయలేం.""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు అందరికీ ఇష్టమైన కారం ఏమిటి?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉపకారం.""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు నీళ్లలో పుడుతుంది. నీళ్లలో పడితే చస్తుంది.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉప్పు""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు ఆకులేని పంట,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉప్పు""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
నీటితో పంట - ఆకు లేని పంట","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉప్పు""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు లక్ష్మి దేవి పుట్టకముందు ఆకు లేని పంట పండింది.ఇప్పటికీ ప్రతి ఇంట ఉంది.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉప్పు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
నీటి ఒరుగు - రాతి బురద","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉప్పు-సున్నం""",1,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు కాయ, పువ్వు లేని పంట ఏ పంట?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉప్పుపంట""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
ఈడ ఢమ ఢమ ఆడ ఢమ ఢమ మద్ది రేవుల కాడ మరీ ఢమ ఢమ","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉరుము""",1,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు దుకాణములో కొంటారు. ముందర పెట్టుకొని ఏడుస్తారు.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉల్లి గడ్డలు""",1,['tel']
"ఈ రిడిల్ కి సమాధానం ఇవ్వు అడ్డంగా కోస్తే చక్రం, నిలువుగా కోస్తే శంఖం","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉల్లి పాయ""",1,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు భూమిలో పుట్టింది - భూమిలో పెరిగింది - రంగేసుకొచ్చింది రామచిలుక,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉల్లిగడ""",1,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు డబ్బుపెట్టి కొనడం ముందరగానే ఏడ్వడం.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉల్లిగడ్డ""",2,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు కాళ్ళు చేతులు లేని అందగత్తెకు బోలెడు దుస్తులు.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉల్లిపాయ""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
ఈకల ఈరమ్మ ముళ్ళ పేరమ్మ సంతకు వెళితే అంతా కొనేవారే?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉల్లిపాయ""",1,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు పొట్టి వాడికి ఒళ్లంతా బట్టలే ఎవరది?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉల్లిపాయ""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
కాళ్ళు చేతులు లేని తెల్లదొరకు బోలెడు దుస్తులు","మీరు అడిగిన రిడిల్ కి సమాధానం:
""ఉల్లిపాయ""",1,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు అడ్డం కోస్తే చక్రం - నిలువు కోస్తే శంఖం,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉల్లిపాయ""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
నా శరీరాన్ని కోసినా నేను ఏడవను ,కానీ నిన్ను ఏడిపిస్తాను ఎవరు నేను?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""ఉల్లిపాయ""",2,['tel']
